 MALLOC FUNCTION
----------------------------------------------------------------------------------------
|   bufer size | alloc min | alloc avr | alloc max |  free min |  free avr |  free max |
|        bytes |        ns |        ns |        ns |        ns |        ns |        ns |
----------------------------------------------------------------------------------------
|         1    |       144 |       666 |      2498 |       131 |       471 |      1554 |
|         1 + 1|       140 |       182 |       348 |       131 |       166 |       301 |
|         2    |       144 |       185 |       291 |       128 |       160 |       275 |
|         2 + 1|       143 |       173 |       291 |       133 |       159 |       257 |
|         4    |       140 |       203 |       293 |       133 |       161 |       273 |
|         4 + 1|       144 |       174 |       295 |       127 |       159 |       274 |
|         8    |       140 |       172 |       292 |       133 |       162 |       277 |
|         8 + 1|       140 |       172 |       295 |       131 |       159 |       273 |
|        16    |       144 |       202 |       432 |       131 |       160 |       272 |
|        16 + 1|       140 |       173 |       295 |       127 |       160 |       277 |
|        32    |       140 |       185 |       345 |       130 |       161 |       274 |
|        32 + 1|       140 |       171 |       285 |       128 |       160 |       268 |
|        64    |       169 |       246 |       450 |       160 |       713 |      2642 |
|        64 + 1|       168 |       227 |       346 |       160 |       210 |       360 |
|       128    |       164 |       204 |       346 |       160 |       202 |       353 |
|       128 + 1|       168 |       204 |       337 |       161 |       203 |       357 |
|       256    |       168 |       251 |       421 |       160 |       200 |       357 |
|       256 + 1|       160 |       199 |       333 |       160 |       204 |       372 |
|       512    |       164 |       229 |       481 |       160 |       201 |       357 |
|       512 + 1|       168 |       204 |       345 |       161 |       201 |       353 |
|      1024    |       164 |       202 |       337 |       160 |       197 |       345 |
|      1024 + 1|       164 |       205 |       357 |       164 |       206 |       364 |
|      2048    |       165 |       203 |       340 |       161 |       216 |       341 |
|      2048 + 1|       164 |       206 |       369 |       157 |       201 |       364 |
|      4096    |       164 |      1473 |      6566 |       157 |       205 |       384 |
|      4096 + 1|       167 |       210 |       373 |       160 |       204 |       364 |
|      8192    |       164 |      1351 |      5970 |       161 |       209 |       392 |
|      8192 + 1|       161 |       202 |       348 |       160 |       201 |       352 |
|     16384    |       168 |      1364 |      6004 |       160 |       204 |       373 |
|     16384 + 1|       167 |       209 |       368 |       164 |       200 |       344 |
|     32768    |       171 |      1365 |      6008 |       160 |       210 |       405 |
|     32768 + 1|       164 |       210 |       370 |       160 |       201 |       354 |
|     65536    |       169 |      1357 |      5982 |       161 |       213 |       412 |
|     65536 + 1|       169 |       237 |       381 |       160 |       202 |       357 |
|    131072    |       169 |      1665 |      7457 |       161 |      2047 |      9585 |
|    131072 + 1|       168 |       207 |       349 |       160 |       194 |       329 |
|    262144    |       215 |      5806 |     14162 |       185 |      6024 |     28997 |
|    262144 + 1|       211 |       278 |       536 |       185 |       232 |       406 |
|    524288    |     11697 |     15346 |     19549 |      8011 |     10281 |     12959 |
|    524288 + 1|     11817 |     14980 |     19582 |      7597 |      9487 |     10845 |
|   1048576    |      9525 |     13254 |     20506 |      8553 |     12345 |     19539 |
|   1048576 + 1|     11606 |     14956 |     20496 |      8476 |     10489 |     11732 |
|   2097152    |     12699 |     16664 |     21425 |     11904 |     14668 |     17179 |
|   2097152 + 1|     12754 |     13091 |     13866 |     14684 |     15040 |     15505 |
|   4194304    |     12654 |     12998 |     13856 |     14573 |     14997 |     15861 |
|   4194304 + 1|     12673 |     13150 |     14658 |     14714 |     15000 |     15791 |
|   8388608    |     12904 |     13815 |     16207 |     14809 |     15161 |     16197 |
|   8388608 + 1|     12954 |     16437 |     21788 |     11950 |     14576 |     15631 |
|  16777216    |     12844 |     16778 |     22467 |     12716 |     14920 |     16201 |
|  16777216 + 1|     12869 |     13137 |     14042 |     14974 |     15205 |     15936 |
|  33554432    |     12824 |     14858 |     21832 |     15300 |     17538 |     24536 |
|  33554432 + 1|     12809 |     13086 |     13747 |     15390 |     15679 |     16187 |
|  67108864    |     12894 |     13177 |     13952 |     16222 |     16527 |     17159 |
|  67108864 + 1|     12909 |     13900 |     17265 |     16021 |     16435 |     17340 |
| 134217728    |     12754 |     13166 |     14037 |     17876 |     18265 |     18908 |
| 134217728 + 1|     12904 |     13204 |     14042 |     17806 |     18198 |     18888 |
| 268435456    |     12989 |     13495 |     14313 |     21329 |     27005 |     47252 |
| 268435456 + 1|      4676 |      6623 |     14237 |      7726 |     10816 |     22812 |
| 536870912    |      4678 |      4796 |      5166 |     10136 |     10393 |     10739 |
| 536870912 + 1|      4662 |      4982 |      5737 |     10130 |     10299 |     10553 |
|1073741824    |      5128 |      5740 |      6418 |     15069 |     15310 |     15827 |
|1073741824 + 1|      5450 |      5685 |      6021 |     14985 |     15089 |     15339 |
|2147483648    |      4700 |      4861 |      5203 |     15027 |     15262 |     15934 |
|2147483648 + 1|      4680 |      4786 |      5113 |     14930 |     15078 |     15408 |
----------------------------------------------------------------------------------------
 CALLOC FUNCTION
----------------------------------------------------------------------------------------
|   bufer size | alloc min | alloc avr | alloc max |  free min |  free avr |  free max |
|        bytes |        ns |        ns |        ns |        ns |        ns |        ns |
----------------------------------------------------------------------------------------
|         1    |        73 |       520 |      2178 |        60 |       100 |       229 |
|         1 + 1|        71 |        99 |       163 |        60 |        81 |       126 |
|         2    |        71 |        93 |       175 |        59 |        71 |       120 |
|         2 + 1|        71 |        89 |       157 |        60 |        68 |       100 |
|         4    |        71 |        90 |       161 |        58 |        69 |       104 |
|         4 + 1|        71 |        89 |       158 |        58 |        67 |       100 |
|         8    |        72 |        89 |       151 |        60 |        68 |       102 |
|         8 + 1|        71 |        86 |       143 |        60 |        68 |        99 |
|        16    |        73 |       112 |       237 |        60 |        71 |       115 |
|        16 + 1|        72 |        87 |       144 |        59 |        69 |       105 |
|        32    |        74 |       114 |       222 |        60 |        70 |       105 |
|        32 + 1|        73 |        87 |       144 |        59 |        69 |       106 |
|        64    |       109 |       162 |       375 |        68 |       158 |       484 |
|        64 + 1|       109 |       149 |       230 |        66 |        79 |       111 |
|       128    |       118 |       141 |       231 |        67 |        77 |       114 |
|       128 + 1|       115 |       140 |       235 |        67 |        77 |       115 |
|       256    |       129 |       162 |       275 |        65 |        83 |       124 |
|       256 + 1|       129 |       153 |       244 |        67 |        76 |       111 |
|       512    |       131 |       165 |       277 |        68 |        79 |       122 |
|       512 + 1|       132 |       156 |       246 |        67 |        76 |       111 |
|      1024    |       144 |       170 |       261 |        68 |        76 |       109 |
|      1024 + 1|       144 |       172 |       270 |        67 |        80 |       111 |
|      2048    |       175 |       202 |       300 |        68 |        84 |       108 |
|      2048 + 1|       175 |       202 |       302 |        67 |        77 |       113 |
|      4096    |       233 |       269 |       397 |        68 |        79 |       120 |
|      4096 + 1|       233 |       259 |       359 |        65 |        76 |       113 |
|      8192    |       350 |       392 |       552 |        67 |        79 |       122 |
|      8192 + 1|       351 |       382 |       501 |        67 |        77 |       117 |
|     16384    |       585 |      1280 |      3900 |        68 |        92 |       188 |
|     16384 + 1|       583 |       630 |       777 |        68 |        82 |       134 |
|     32768    |      1148 |      2850 |      9385 |        67 |        89 |       175 |
|     32768 + 1|      1150 |      1224 |      1505 |        68 |        82 |       132 |
|     65536    |      3160 |      6719 |     20834 |        69 |        89 |       173 |
|     65536 + 1|      3087 |      3178 |      3211 |        67 |        80 |       128 |
|    131072    |      6301 |     14177 |     45606 |        67 |        90 |       177 |
|    131072 + 1|      6228 |      6308 |      6333 |        67 |        82 |       133 |
|    262144    |     12603 |     29275 |     95909 |        71 |        94 |       178 |
|    262144 + 1|     12612 |     12628 |     12634 |        69 |        83 |       137 |
|    524288    |      4257 |      4603 |      5737 |      3519 |      3862 |      5019 |
|    524288 + 1|      4182 |      4291 |      4618 |      3483 |      3595 |      3967 |
|   1048576    |      4193 |      4288 |      4539 |      3872 |      3982 |      4315 |
|   1048576 + 1|      4200 |      4287 |      4534 |      3887 |      3979 |      4269 |
|   2097152    |      4611 |      4750 |      5097 |      5335 |      5472 |      5784 |
|   2097152 + 1|      4634 |      5022 |      5921 |      5334 |      5486 |      5773 |
