./memory_tst 
malloc
ineration, size(hex), time
0, 0x1, 0.000002422
0, 0x2, 0.000002046
1, 0x2, 0.000001961
1, 0x3, 0.000002000
2, 0x4, 0.000001965
2, 0x5, 0.000001974
3, 0x8, 0.000001974
3, 0x9, 0.000001970
4, 0x10, 0.000001972
4, 0x11, 0.000001972
5, 0x20, 0.000002039
5, 0x21, 0.000002008
6, 0x40, 0.000002045
6, 0x41, 0.000001995
7, 0x80, 0.000002036
7, 0x81, 0.000001997
8, 0x100, 0.000001992
8, 0x101, 0.000001985
9, 0x200, 0.000002028
9, 0x201, 0.000001993
10, 0x400, 0.000007521
10, 0x401, 0.000001992
11, 0x800, 0.000002012
11, 0x801, 0.000001982
12, 0x1000, 0.000002072
12, 0x1001, 0.000002012
13, 0x2000, 0.000006785
13, 0x2001, 0.000001998
14, 0x4000, 0.000006702
14, 0x4001, 0.000001988
15, 0x8000, 0.000006505
15, 0x8001, 0.000002000
16, 0x10000, 0.000006470
16, 0x10001, 0.000002029
17, 0x20000, 0.000006400
17, 0x20001, 0.000002003
18, 0x40000, 0.000017782
18, 0x40001, 0.000011437
19, 0x80000, 0.000014378
19, 0x80001, 0.000010228
20, 0x100000, 0.000013878
20, 0x100001, 0.000011321
21, 0x200000, 0.000015402
21, 0x200001, 0.000010443
22, 0x400000, 0.000013070
22, 0x400001, 0.000011081
23, 0x800000, 0.000013235
23, 0x800001, 0.000010884
24, 0x1000000, 0.000013059
24, 0x1000001, 0.000010771
25, 0x2000000, 0.000013844
25, 0x2000001, 0.000013802
26, 0x4000000, 0.000013571
26, 0x4000001, 0.000027286
27, 0x8000000, 0.000013737
27, 0x8000001, 0.000013394
28, 0x10000000, 0.000013225
28, 0x10000001, 0.000013273
29, 0x20000000, 0.000013254
29, 0x20000001, 0.000013187
30, 0x40000000, 0.000013066
30, 0x40000001, 0.000014728
pt = NULL
calloc
ineration, size(hex), time
0, 0x1, 0.000002513
0, 0x2, 0.000002179
1, 0x2, 0.000001995
1, 0x3, 0.000002009
2, 0x4, 0.000001993
2, 0x5, 0.000002031
3, 0x8, 0.000002015
3, 0x9, 0.000002003
4, 0x10, 0.000002035
4, 0x11, 0.000002014
5, 0x20, 0.000002136
5, 0x21, 0.000002037
6, 0x40, 0.000002067
6, 0x41, 0.000002021
7, 0x80, 0.000002238
7, 0x81, 0.000002143
8, 0x100, 0.000002106
8, 0x101, 0.000002028
9, 0x200, 0.000002161
9, 0x201, 0.000002056
10, 0x400, 0.000002272
10, 0x401, 0.000002056
11, 0x800, 0.000007162
11, 0x801, 0.000002144
12, 0x1000, 0.000002333
12, 0x1001, 0.000002189
13, 0x2000, 0.000007307
13, 0x2001, 0.000002403
14, 0x4000, 0.000013614
14, 0x4001, 0.000002882
15, 0x8000, 0.000030617
15, 0x8001, 0.000004590
16, 0x10000, 0.000052471
16, 0x10001, 0.000007429
17, 0x20000, 0.000099949
17, 0x20001, 0.000012932
18, 0x40000, 0.000029122
18, 0x40001, 0.000203392
19, 0x80000, 0.000039011
19, 0x80001, 0.000398855
20, 0x100000, 0.000061676
20, 0x100001, 0.000816945
21, 0x200000, 0.000111059
21, 0x200001, 0.000808344
22, 0x400000, 0.000064014
22, 0x400001, 0.000803701
23, 0x800000, 0.000131104
23, 0x800001, 0.001670947
24, 0x1000000, 0.000346935
24, 0x1000001, 0.003575317
25, 0x2000000, 0.000005633
25, 0x2000001, 0.000003020
26, 0x4000000, 0.000002789
26, 0x4000001, 0.000002746
27, 0x8000000, 0.000002824
27, 0x8000001, 0.000002936
28, 0x10000000, 0.000002792
28, 0x10000001, 0.000002764
29, 0x20000000, 0.000007503
29, 0x20000001, 0.000003068
30, 0x40000000, 0.000002997
30, 0x40000001, 0.000003049
pt = NULL
alloca
ineration, size(hex), time
0, 0x1, 0.000000487
0, 0x2, 0.000000477
1, 0x2, 0.000000478
1, 0x3, 0.000000476
2, 0x4, 0.000000479
2, 0x5, 0.000000473
3, 0x8, 0.000000476
3, 0x9, 0.000000460
4, 0x10, 0.000000461
4, 0x11, 0.000000463
5, 0x20, 0.000000476
5, 0x21, 0.000000478
6, 0x40, 0.000000474
6, 0x41, 0.000000474
7, 0x80, 0.000000477
7, 0x81, 0.000000478
8, 0x100, 0.000000476
8, 0x101, 0.000000478
9, 0x200, 0.000000477
9, 0x201, 0.000000478
10, 0x400, 0.000000482
10, 0x401, 0.000000474
11, 0x800, 0.000000475
11, 0x801, 0.000000467
12, 0x1000, 0.000001730
12, 0x1001, 0.000001735
13, 0x2000, 0.000004222
13, 0x2001, 0.000001698
14, 0x4000, 0.000001689
14, 0x4001, 0.000001598
15, 0x8000, 0.000001846
15, 0x8001, 0.000002154
16, 0x10000, 0.000001783
16, 0x10001, 0.000001787
17, 0x20000, 0.000002052
17, 0x20001, 0.000001774
18, 0x40000, 0.000002863
18, 0x40001, 0.000001802
19, 0x80000, 0.000002092
19, 0x80001, 0.000001795
20, 0x100000, 0.000001721
20, 0x100001, 0.000002031
21, 0x200000, 0.000002038
Ошибка сегментирования (сделан дамп памяти)
