size/dt     kmalloc     kfree       vmalloc     vfree       kzmalloc    kzfree      get_free_pagesfree_pages  
2           625         142         34049       2287        427         464         964         621         
4           85          60          9388        762         45          65          78          44          
8           70          60          1515        563         46          50          74          45          
16          278         140         14222       602         245         104         77          46          
32          110         78          7167        560         176         104         75          50          
64          127         80          6709        532         203         104         71          46          
128         248         78          1785        527         224         108         75          46          
256         375         385         1760        530         272         221         77          46          
512         153         93          892         482         302         154         76          46          
1024        312         248         840         472         350         193         76          47          
2048        300         215         1112        468         383         187         75          46          
4096        272         210         915         412         542         220         75          45          
8192        263         230         890         622         566         309         510         206         
16384       1267        783         5659        900         1903        1180        260         178         
32768       498         440         67091       1345        1681        906         223         206         
65536       477         312         13462       1858        3241        2129        243         263         
131072      583         372         6382        2868        6337        4190        383         205         
262144      863         555         28847       12097       14487       8479        482         260         
524288      3063        1017        20533       16040       26940       16740       931         342         
1048576     2097        1232        41039       36461       49026       33998       1761        494         
2097152     4510        2465        79418       71491       99790       68398       3862        1013        
4194304     11290       4957        172589      122120      230974      139033      2175        2126        
8388608     0           0           375567      245252      0           0           0           0           
16777216    0           0           648826      247253      0           0           0           0           
33554432    0           0           780045      575990      0           0           0           0           
67108864    0           0           1541149     1184098     0           0           0           0           
134217728   0           0           3837526     2770575     0           0           0           0           
268435456   0           0           18879000    5845923     0           0           0           0           
536870912   0           0           445262409   12145401    0           0           0           0           
1073741824  0           0           3101738956  28641602    0           0           0           0           
2147483648  0           0           7985258885  57645229    0           0           0           0           
4294967296  0           0           15052543416 101912425   0           0           0           0           
8589934592  0           0           0           0           0           0           0           0
